GT Program,Benchmark Info,Semantics,Delta,Avg. Per Component Pred. Set Size,Avg. Per Input Pred. Set Size,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round,Initial Examples
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",wedding,CCE,0.35,1.3072916666666667,36.421875,SmartLabel,True,5.323757071048021,27.222285017371178,3875,1,4,"[11.184777405112982, 14.219398807734251, 1.0096746012568474, 0.5226682387292385]","[('wedding/our-wedding_7667960846_o Medium.jpeg', {'254', '255'}), ('wedding/our-wedding_7667990430_o Medium.jpeg', {'299'}), ('wedding/our-wedding_7669155316_o Medium.jpeg', {'1529'}), ('wedding/our-wedding_7669245932_o Medium.jpeg', {'1620', '1621', '1619'}), ('wedding/our-wedding_7667858606_o Medium.jpeg', set()), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'116', '115'})]"
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",wedding,CCE,0.35,1.3072916666666667,36.421875,SmartLabel,True,6.589278504252434,17.707620821893215,8590,1,4,"[13.69496787711978, 2.371692106127739, 0.9732520021498203, 0.47909778356552124]","[('wedding/our-wedding_7667901558_o Medium.jpeg', {'159', '160'}), ('wedding/our-wedding_7667875916_o Medium.jpeg', {'64'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', set()), ('wedding/our-wedding_7667895274_o Medium.jpeg', set()), ('wedding/our-wedding_7667856670_o Medium.jpeg', set()), ('wedding/our-wedding_7667907634_o Medium.jpeg', {'181'})]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",wedding,CCE,0.35,1.3072916666666667,36.421875,SmartLabel,True,6.2901847921311855,76.9163802228868,97,7,22,"[10.978101510554552, 3.344414573162794, 3.185246143490076, 2.823379471898079, 2.7943054363131523, 2.902136716991663, 2.5814988017082214, 2.532526195049286, 1.4129324741661549, 1.318234022706747, 1.3217856846749783, 1.389595378190279, 1.471012581139803, 1.5416745655238628, 1.6212609596550465, 1.6210829690098763, 3.981413781642914, 9.287471171468496, 9.241274531930685, 0.7397890724241734, 9.206304542720318, 0.7374736033380032]","[('wedding/our-wedding_7668149796_o Medium.jpeg', {'712', '715'}), ('wedding/our-wedding_7669446920_o Medium.jpeg', {'1999', '1996'}), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1160', '1163', '1167', '1159'}), ('wedding/our-wedding_7667855224_o Medium.jpeg', set()), ('wedding/our-wedding_7668991988_o Medium.jpeg', {'1189', '1192', '1188'}), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668013044_o Medium.jpeg', set()), ('wedding/our-wedding_7668052228_o Medium.jpeg', set()), ('wedding/our-wedding_7668134904_o Medium.jpeg', set()), ('wedding/our-wedding_7668587988_o Medium.jpeg', set()), ('wedding/our-wedding_7668615172_o Medium.jpeg', set()), ('wedding/our-wedding_7668876442_o Medium.jpeg', {'972', '977'}), ('wedding/our-wedding_7668954596_o Medium.jpeg', {'1133', '1130'})]"
"Map(IsObject(Face), IsObject(Face), GetAbove)",wedding,CCE,0.35,1.3072916666666667,36.421875,SmartLabel,True,10.231051541864872,66.95064439252019,1206,1,12,"[14.315572563558817, 11.283091396093369, 7.916452582925558, 4.382506184279919, 3.5768322721123695, 3.758215606212616, 3.8245791383087635, 3.8558598533272743, 3.7696518003940582, 3.558046542108059, 3.3244461193680763, 3.263351660221815]","[('wedding/our-wedding_7669442380_o Medium.jpeg', {'1987', '1990'}), ('wedding/our-wedding_7669076756_o Medium.jpeg', {'1402'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', set()), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1162', '1167', '1165'}), ('wedding/our-wedding_7667855224_o Medium.jpeg', set()), ('wedding/our-wedding_7668095250_o Medium.jpeg', {'579'}), ('wedding/our-wedding_7668991988_o Medium.jpeg', set()), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667907634_o Medium.jpeg', {'181'}), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668013044_o Medium.jpeg', set())]"
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",wedding,CCE,0.35,1.3072916666666667,36.421875,SmartLabel,True,5.951557599008083,16.692484341561794,184,1,2,"[12.864142410457134, 3.5601284354925156]","[('wedding/our-wedding_7667907634_o Medium.jpeg', {'181'}), ('wedding/our-wedding_7669213072_o Medium.jpeg', {'1585'}), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1167'}), ('wedding/our-wedding_7668095250_o Medium.jpeg', {'579'})]"
"Intersection[Map(IsObject(Face), IsObject(Face), GetRight), Map(IsObject(Face), IsObject(Face), GetLeft)]",wedding,CCE,0.35,1.3072916666666667,36.421875,SmartLabel,True,6.485346831381321,0.31121738627552986,1,1,0,[],"[('wedding/our-wedding_7668015714_o Medium.jpeg', {'345', '343'}), ('wedding/our-wedding_7669326520_o Medium.jpeg', {'1755', '1751', '1753', '1758', '1760'})]"
"Intersection[Smile, EyesOpen]",wedding,CCE,0.35,1.3072916666666667,36.421875,SmartLabel,True,12.573167715221643,73.22943085059524,5426,1,10,"[13.772425595670938, 14.68732314184308, 13.52165188640356, 11.985849481076002, 5.721867557615042, 2.7337585240602493, 2.740066520869732, 2.84359148517251, 2.559209119528532, 2.516145307570696]","[('wedding/our-wedding_7669409648_o Medium.jpeg', {'1942', '1941'}), ('wedding/our-wedding_7669224504_o Medium.jpeg', {'1607', '1609'}), ('wedding/our-wedding_7669220304_o Medium.jpeg', {'1600', '1599'}), ('wedding/our-wedding_7669146078_o Medium.jpeg', {'1509'}), ('wedding/our-wedding_7669245932_o Medium.jpeg', {'1626', '1625', '1624'}), ('wedding/our-wedding_7669312112_o Medium.jpeg', {'1729', '1725', '1726', '1721', '1727', '1722', '1731', '1723', '1724'}), ('wedding/our-wedding_7667858606_o Medium.jpeg', set()), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', {'283'}), ('wedding/our-wedding_7668013044_o Medium.jpeg', {'339'})]"
"Intersection[IsObject(Face), Complement(Intersection[Smile, EyesOpen])]",wedding,CCE,0.35,1.3072916666666667,36.421875,SmartLabel,True,9.924919221550226,18.21094750612974,534,1,3,"[11.797829136252403, 4.341196272522211, 1.818240512162447]","[('wedding/our-wedding_7669224504_o Medium.jpeg', {'1608'}), ('wedding/our-wedding_7669092256_o Medium.jpeg', {'1426'}), ('wedding/our-wedding_7669245932_o Medium.jpeg', set()), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1164', '1167'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'118'})]"
"Intersection[Smile, EyesOpen, Complement(MouthOpen)]",wedding,CCE,0.35,1.3072916666666667,36.421875,SmartLabel,True,5.334025293588638,0.2684515714645386,1,1,0,[],"[('wedding/our-wedding_7668472586_o Medium.jpeg', {'727'}), ('wedding/our-wedding_7669135388_o Medium.jpeg', {'1489'})]"
"Union[Map(IsObject(Bride), IsObject(Face), GetAbove), Map(IsObject(Suit), IsObject(Face), GetAbove)]",wedding,CCE,0.35,1.3072916666666665,36.421875,SmartLabel,True,8.757205229252577,20.899013575166464,221,1,5,"[8.582916613668203, 2.903086118400097, 2.035611342638731, 3.516039352864027, 3.6882692351937294]","[('wedding/our-wedding_7668981368_o Medium.jpeg', {'1167', '1163'}), ('wedding/our-wedding_7667901558_o Medium.jpeg', {'160'}), ('wedding/our-wedding_7668991988_o Medium.jpeg', {'1192'}), ('wedding/our-wedding_7667900216_o Medium.jpeg', {'154'}), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668013044_o Medium.jpeg', {'339'})]"
"Intersection[IsObject(Face), Complement(Smile)]",wedding,CCE,0.35,1.3072916666666665,36.421875,SmartLabel,True,8.035816181451082,21.363097496330738,348,8,2,"[16.7243625074625, 2.016239743679762]","[('wedding/our-wedding_7669152422_o Medium.jpeg', {'1526', '1525'}), ('wedding/our-wedding_7668635930_o Medium.jpeg', {'919', '917'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', set()), ('wedding/our-wedding_7667858606_o Medium.jpeg', {'16'})]"
